    9.5625 MB /   1.00 sec =   80.2601 Mbps
    9.5000 MB /   1.00 sec =   79.8153 Mbps
    9.5625 MB /   1.00 sec =   80.0850 Mbps
    9.5000 MB /   1.00 sec =   79.7223 Mbps
    9.5625 MB /   1.00 sec =   79.9585 Mbps
    9.5000 MB /   1.00 sec =   80.0791 Mbps
    9.6250 MB /   1.01 sec =   80.2073 Mbps
    9.4375 MB /   0.99 sec =   79.5826 Mbps
    9.5625 MB /   1.00 sec =   80.3311 Mbps
    9.5625 MB /   1.00 sec =   80.1091 Mbps
    9.5000 MB /   1.00 sec =   79.8065 Mbps
    9.5625 MB /   1.00 sec =   80.1984 Mbps
    9.5000 MB /   1.00 sec =   79.6631 Mbps
    9.5625 MB /   1.00 sec =   80.1549 Mbps
    9.6875 MB /   1.02 sec =   79.9083 Mbps
    9.3750 MB /   0.98 sec =   80.1005 Mbps
    9.5625 MB /   1.00 sec =   79.9759 Mbps
    9.5625 MB /   1.00 sec =   80.1979 Mbps
    9.5000 MB /   1.00 sec =   79.9381 Mbps
    9.5625 MB /   1.00 sec =   80.1899 Mbps
    9.5000 MB /   1.00 sec =   79.6656 Mbps
    9.5625 MB /   1.00 sec =   79.9427 Mbps
    9.5000 MB /   1.00 sec =   79.8133 Mbps
    9.5625 MB /   1.00 sec =   80.3422 Mbps
    9.5625 MB /   1.00 sec =   79.8626 Mbps
    9.5000 MB /   1.00 sec =   79.9870 Mbps
    9.6875 MB /   1.01 sec =   80.4667 Mbps
    9.5625 MB /   1.01 sec =   79.7751 Mbps
    9.5000 MB /   1.00 sec =   79.7561 Mbps
    9.3750 MB /   0.98 sec =   79.9665 Mbps
    9.5625 MB /   1.00 sec =   80.0699 Mbps
    9.5000 MB /   1.00 sec =   79.7581 Mbps
    9.5625 MB /   1.00 sec =   80.2405 Mbps
    9.5625 MB /   1.00 sec =   80.1099 Mbps
    9.5625 MB /   1.00 sec =   80.0720 Mbps
    9.5000 MB /   1.00 sec =   79.8260 Mbps
    9.5625 MB /   1.00 sec =   80.2562 Mbps
    9.5000 MB /   1.00 sec =   79.6898 Mbps
    9.5625 MB /   1.00 sec =   80.1309 Mbps
    9.5625 MB /   1.00 sec =   80.2014 Mbps
    9.5000 MB /   1.00 sec =   79.8842 Mbps
    9.5625 MB /   1.00 sec =   79.8538 Mbps
    9.5625 MB /   1.00 sec =   80.1975 Mbps
    9.5625 MB /   1.00 sec =   79.8472 Mbps
    9.5625 MB /   1.00 sec =   80.1833 Mbps
    9.4375 MB /   0.99 sec =   79.8520 Mbps
    9.5625 MB /   1.00 sec =   80.0731 Mbps
    9.5000 MB /   1.00 sec =   79.8799 Mbps
