nuttcp-t: v6.1.2: Error: connect: Connection refused
errno=111
RTY: 1
    9.5000 MB /   1.00 sec =   79.8401 Mbps
    9.5625 MB /   1.00 sec =   80.2173 Mbps
    9.5625 MB /   1.00 sec =   80.2189 Mbps
    9.6875 MB /   1.02 sec =   79.8950 Mbps
    9.3750 MB /   0.98 sec =   79.8903 Mbps
    9.5625 MB /   1.00 sec =   80.1736 Mbps
    9.5000 MB /   1.00 sec =   79.8130 Mbps
    9.5625 MB /   1.00 sec =   80.0188 Mbps
    9.5000 MB /   1.00 sec =   79.8937 Mbps
    9.5625 MB /   1.00 sec =   80.1450 Mbps
    9.5625 MB /   1.01 sec =   79.8119 Mbps
    9.5000 MB /   1.00 sec =   80.0353 Mbps
    9.5625 MB /   1.00 sec =   80.1991 Mbps
    9.5625 MB /   1.00 sec =   80.1164 Mbps
    9.5000 MB /   1.00 sec =   79.5215 Mbps
    9.5000 MB /   1.00 sec =   79.9271 Mbps
    9.5625 MB /   1.00 sec =   80.2558 Mbps
    9.5625 MB /   1.00 sec =   80.2322 Mbps
    9.5000 MB /   1.00 sec =   79.7575 Mbps
    9.5625 MB /   1.00 sec =   80.3116 Mbps
    9.5000 MB /   1.00 sec =   79.6671 Mbps
    9.5625 MB /   1.00 sec =   80.1180 Mbps
    9.5625 MB /   1.00 sec =   80.0857 Mbps
    9.5000 MB /   1.00 sec =   79.8894 Mbps
    9.5625 MB /   1.00 sec =   80.2393 Mbps
    9.5000 MB /   1.00 sec =   79.7251 Mbps
    9.5625 MB /   1.00 sec =   79.9564 Mbps
    9.5000 MB /   1.00 sec =   79.8820 Mbps
    9.5625 MB /   1.00 sec =   80.1898 Mbps
    9.5625 MB /   1.00 sec =   80.1801 Mbps
    9.5000 MB /   1.00 sec =   79.7917 Mbps
    9.5625 MB /   1.00 sec =   79.9988 Mbps
    9.5625 MB /   1.00 sec =   80.1118 Mbps
    9.5000 MB /   1.00 sec =   79.9760 Mbps
    9.5000 MB /   1.00 sec =   79.7561 Mbps
    9.5625 MB /   1.00 sec =   80.2020 Mbps
    9.5625 MB /   1.00 sec =   80.1215 Mbps
    9.5000 MB /   1.00 sec =   79.6637 Mbps
    9.5625 MB /   1.00 sec =   80.3528 Mbps
    9.5000 MB /   1.00 sec =   79.6954 Mbps
    9.5625 MB /   1.00 sec =   80.1344 Mbps
    9.5625 MB /   1.00 sec =   80.1672 Mbps
    9.5000 MB /   1.00 sec =   79.8316 Mbps
    9.5625 MB /   1.00 sec =   80.0836 Mbps
    9.6250 MB /   1.01 sec =   79.9862 Mbps
    9.5000 MB /   1.00 sec =   79.7693 Mbps
    9.5000 MB /   0.99 sec =   80.3161 Mbps
    9.5625 MB /   1.01 sec =   79.8060 Mbps
    9.5000 MB /   0.99 sec =   80.1564 Mbps
    9.5625 MB /   1.00 sec =   80.2129 Mbps
    9.5000 MB /   1.00 sec =   79.3198 Mbps
    9.5000 MB /   0.99 sec =   80.1112 Mbps
    9.5625 MB /   1.00 sec =   80.0461 Mbps
    9.5625 MB /   1.00 sec =   80.0181 Mbps

 2861.3750 MB / 300.04 sec =   80.0002 Mbps 100 %TX 0 %RX 1.98 msRTT
