    9.5625 MB /   1.00 sec =   80.2194 Mbps
    9.5625 MB /   1.00 sec =   80.2173 Mbps
    9.5000 MB /   1.00 sec =   79.6836 Mbps
    9.5625 MB /   1.00 sec =   80.2194 Mbps
    9.5000 MB /   1.00 sec =   79.6855 Mbps
    9.5625 MB /   1.00 sec =   80.2185 Mbps
    9.5000 MB /   1.00 sec =   79.6966 Mbps
    9.5625 MB /   1.00 sec =   80.2151 Mbps
    9.5625 MB /   1.00 sec =   80.2153 Mbps
    9.5000 MB /   1.00 sec =   79.6842 Mbps
    9.5625 MB /   1.00 sec =   80.2190 Mbps
    9.5000 MB /   1.00 sec =   79.6935 Mbps
    9.5625 MB /   1.00 sec =   80.2176 Mbps
    9.5625 MB /   1.00 sec =   80.2197 Mbps
    9.5000 MB /   1.00 sec =   79.6887 Mbps
    9.5625 MB /   1.00 sec =   80.1854 Mbps
    9.5000 MB /   1.00 sec =   79.7059 Mbps
    9.5625 MB /   1.00 sec =   80.2309 Mbps
    9.5625 MB /   1.00 sec =   80.2157 Mbps
    9.5000 MB /   1.00 sec =   79.6934 Mbps
    9.5625 MB /   1.00 sec =   80.2184 Mbps
    9.5000 MB /   1.00 sec =   79.6898 Mbps
    9.5625 MB /   1.00 sec =   80.2198 Mbps
    9.5000 MB /   1.00 sec =   79.6848 Mbps
    9.5625 MB /   1.00 sec =   80.2113 Mbps
    9.5625 MB /   1.00 sec =   80.2270 Mbps
    9.5000 MB /   1.00 sec =   79.6854 Mbps
    9.5625 MB /   1.00 sec =   80.2111 Mbps
    9.5000 MB /   1.00 sec =   79.7037 Mbps
    9.5625 MB /   1.00 sec =   80.2100 Mbps
    9.5625 MB /   1.00 sec =   80.2089 Mbps
    9.5000 MB /   1.00 sec =   79.7045 Mbps
    9.5625 MB /   1.00 sec =   80.2163 Mbps
    9.5000 MB /   1.00 sec =   79.6942 Mbps
    9.5625 MB /   1.00 sec =   80.2066 Mbps
    9.5625 MB /   1.00 sec =   80.2218 Mbps
    9.5000 MB /   1.00 sec =   79.6852 Mbps
    9.5625 MB /   1.00 sec =   80.2086 Mbps
    9.5000 MB /   1.00 sec =   79.7014 Mbps
    9.5625 MB /   1.00 sec =   80.2190 Mbps
    9.5000 MB /   1.00 sec =   79.6918 Mbps
    9.5625 MB /   1.00 sec =   80.2095 Mbps
    9.5625 MB /   1.00 sec =   80.2222 Mbps
    9.5000 MB /   1.00 sec =   79.6891 Mbps
    9.5625 MB /   1.00 sec =   80.2229 Mbps
    9.5000 MB /   1.00 sec =   79.6874 Mbps
    9.5625 MB /   1.00 sec =   80.2175 Mbps
    9.5625 MB /   1.00 sec =   80.2183 Mbps
    9.5000 MB /   1.00 sec =   79.6864 Mbps
    9.5625 MB /   1.00 sec =   80.2193 Mbps
    9.5000 MB /   1.00 sec =   79.6870 Mbps
    9.5625 MB /   1.00 sec =   80.2215 Mbps
    9.5000 MB /   1.00 sec =   79.6903 Mbps
    9.5625 MB /   1.00 sec =   80.2186 Mbps
    9.5625 MB /   1.00 sec =   80.2152 Mbps
    9.5000 MB /   1.00 sec =   79.6872 Mbps
    9.5625 MB /   1.00 sec =   80.2193 Mbps
    9.5000 MB /   1.00 sec =   79.6926 Mbps
    9.5625 MB /   1.00 sec =   80.2139 Mbps
    9.5625 MB /   1.00 sec =   80.2124 Mbps
    9.5000 MB /   1.00 sec =   79.6949 Mbps
    9.5625 MB /   1.00 sec =   80.2164 Mbps
    9.5000 MB /   1.00 sec =   79.6895 Mbps
    9.5625 MB /   1.00 sec =   80.2173 Mbps
    9.5625 MB /   1.00 sec =   80.2123 Mbps
    9.5000 MB /   1.00 sec =   79.6986 Mbps
    9.5625 MB /   1.00 sec =   80.2180 Mbps
    9.5000 MB /   1.00 sec =   79.6816 Mbps
    9.5625 MB /   1.00 sec =   80.2115 Mbps
    9.5625 MB /   1.00 sec =   80.2318 Mbps
    9.5000 MB /   1.00 sec =   79.6865 Mbps
    9.5625 MB /   1.00 sec =   80.2169 Mbps
    9.5000 MB /   1.00 sec =   79.6903 Mbps
    9.5625 MB /   1.00 sec =   80.2194 Mbps
    9.5000 MB /   1.00 sec =   79.6894 Mbps
    9.5625 MB /   1.00 sec =   80.2125 Mbps
    9.5625 MB /   1.00 sec =   80.2241 Mbps
    9.5000 MB /   1.00 sec =   79.6915 Mbps
    9.5625 MB /   1.00 sec =   80.2146 Mbps
    9.5000 MB /   1.00 sec =   79.6941 Mbps
    9.5625 MB /   1.00 sec =   80.2133 Mbps
    9.5625 MB /   1.00 sec =   80.2171 Mbps
    9.5000 MB /   1.00 sec =   79.6911 Mbps
    9.5625 MB /   1.00 sec =   80.1876 Mbps
    9.5000 MB /   1.00 sec =   79.7062 Mbps
    9.5625 MB /   1.00 sec =   80.2283 Mbps
    9.5000 MB /   1.00 sec =   79.6918 Mbps
    9.5625 MB /   1.00 sec =   80.2204 Mbps
    9.5625 MB /   1.00 sec =   80.2016 Mbps
    9.5000 MB /   1.00 sec =   79.7044 Mbps

 2861.0625 MB / 300.00 sec =   80.0014 Mbps 99 %TX 0 %RX 0.68 msRTT
