    9.5000 MB /   1.00 sec =   79.6842 Mbps
    9.5625 MB /   1.00 sec =   80.2210 Mbps
    9.5000 MB /   1.00 sec =   79.6672 Mbps
    9.5625 MB /   1.00 sec =   80.1102 Mbps
    9.5625 MB /   1.00 sec =   80.3495 Mbps
    9.5000 MB /   1.00 sec =   79.6915 Mbps
    9.5625 MB /   1.00 sec =   80.2113 Mbps
    9.5000 MB /   1.00 sec =   79.6935 Mbps
    9.5625 MB /   1.00 sec =   80.1836 Mbps
    9.5625 MB /   1.00 sec =   80.2535 Mbps
    9.5000 MB /   1.00 sec =   79.6942 Mbps
    9.5625 MB /   1.00 sec =   80.2099 Mbps
    9.5000 MB /   1.00 sec =   79.6943 Mbps
    9.5625 MB /   1.00 sec =   80.2119 Mbps
    9.5000 MB /   1.00 sec =   79.6864 Mbps
    9.5625 MB /   1.00 sec =   80.2182 Mbps
    9.5625 MB /   1.00 sec =   80.1999 Mbps
    9.5000 MB /   1.00 sec =   79.7107 Mbps
    9.5625 MB /   1.00 sec =   80.2114 Mbps
    9.5000 MB /   1.00 sec =   79.7017 Mbps
    9.5625 MB /   1.00 sec =   80.2035 Mbps
    9.5000 MB /   1.00 sec =   79.6885 Mbps
    9.5625 MB /   1.00 sec =   80.2296 Mbps
    9.5625 MB /   1.00 sec =   80.2020 Mbps
    9.5000 MB /   1.00 sec =   79.6971 Mbps
    9.5625 MB /   1.00 sec =   80.2166 Mbps
    9.5000 MB /   1.00 sec =   79.6895 Mbps
    9.5625 MB /   1.00 sec =   80.2004 Mbps
    9.5625 MB /   1.00 sec =   80.2401 Mbps
    9.5000 MB /   1.00 sec =   79.6937 Mbps
    9.5625 MB /   1.00 sec =   80.2096 Mbps
    9.5625 MB /   1.00 sec =   80.2100 Mbps
    9.5000 MB /   1.00 sec =   79.7036 Mbps
    9.5625 MB /   1.00 sec =   80.2032 Mbps
    9.5000 MB /   1.00 sec =   79.6138 Mbps
    9.5625 MB /   1.00 sec =   80.3066 Mbps
    9.5000 MB /   1.00 sec =   79.6947 Mbps
    9.5625 MB /   1.00 sec =   80.1781 Mbps
    9.5625 MB /   1.00 sec =   80.2546 Mbps
    9.5000 MB /   1.00 sec =   79.6907 Mbps
    9.5625 MB /   1.00 sec =   80.2140 Mbps
    9.5000 MB /   1.00 sec =   79.6878 Mbps
    9.5625 MB /   1.00 sec =   80.2212 Mbps
    9.5000 MB /   1.00 sec =   79.6770 Mbps
    9.5625 MB /   1.00 sec =   80.2348 Mbps
    9.5625 MB /   1.00 sec =   80.2129 Mbps
    9.5000 MB /   1.00 sec =   79.6924 Mbps

 2861.0625 MB / 300.00 sec =   80.0004 Mbps 99 %TX 0 %RX 0.69 msRTT
